scenario_id,actor_id,approaching,receding,straight,lane_change_or_merge,turn,fov_edge,dense,range_change_m,lateral_change_m,heading_change_deg,labels
synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,False,True,True,False,False,False,False,23.41708592013802,0.5336651718905099,0.4862326341554108,receding;straight
synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,True,False,False,True,False,False,False,-8.205172976946002,2.338383098973381,0.15774377660020633,approaching;lane_change_or_merge
synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,True,False,False,True,False,False,False,-19.788406080220383,4.283738007718811,0.7006903803108443,approaching;lane_change_or_merge
synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,True,False,False,True,False,False,False,-15.001376996750281,5.697837460247509,0.7255842187194169,approaching;lane_change_or_merge
synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,False,True,False,True,False,False,False,31.120222796155332,-1.8047065317310937,0.5695682149668075,receding;lane_change_or_merge
synthetic-20260828-v5-slots120-dt0.100000,vehicle-0,True,False,False,True,False,True,False,-46.249356020263605,-4.752524892284377,0.7350206766421266,approaching;lane_change_or_merge;fov_edge
synthetic-20260828-v5-slots120-dt0.100000,vehicle-1,True,False,False,False,False,False,False,-56.99459435302007,-0.9203748666573999,0.9307942982384526,approaching
synthetic-20260828-v5-slots120-dt0.100000,vehicle-2,True,False,False,True,False,False,False,-72.88455049984948,2.22905050052805,0.733635365286631,approaching;lane_change_or_merge
synthetic-20260828-v5-slots120-dt0.100000,vehicle-3,False,True,False,True,False,False,False,36.57585398249779,-7.329182879665105,0.008097427636041049,receding;lane_change_or_merge
synthetic-20260828-v5-slots120-dt0.100000,vehicle-4,True,False,False,True,False,False,False,-9.171880688833852,6.384902683671179,0.5118253428354077,approaching;lane_change_or_merge
synthetic-20260829-v5-slots120-dt0.100000,vehicle-0,False,True,False,True,False,False,False,36.43487567647221,-6.705883752576004,0.3773261931477206,receding;lane_change_or_merge
synthetic-20260829-v5-slots120-dt0.100000,vehicle-1,True,False,False,True,False,True,False,-55.58890496983448,5.929972030277662,0.9074355919044114,approaching;lane_change_or_merge;fov_edge
synthetic-20260829-v5-slots120-dt0.100000,vehicle-2,False,True,False,True,False,False,False,9.19908799668913,3.366781413351181,0.4743279387428072,receding;lane_change_or_merge
